                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.254,                 8.3031,                 4.2485,                0.00067,                    0.6,                0.00342,                0.00062,                 2.8228,                 7.4446,                 4.1588,                      0,                      0,                      0
                      2,                 3.2508,                 7.7274,                 4.1579,                0.00067,                    0.6,                 0.0038,                 0.0008,                 2.8227,                 7.4455,                 4.1587,              1.802e-05,              1.802e-05,              1.802e-05
                      3,                 3.2459,                 8.5008,                 4.2514,                0.00067,                    0.6,                0.00462,                0.00079,                 2.8225,                 7.4459,                 4.1586,              3.208e-05,              3.208e-05,              3.208e-05
                      4,                 2.9836,                 8.1395,                 4.3586,                0.00067,                    0.6,                0.00435,                0.00079,                 2.8223,                  7.447,                 4.1585,              4.218e-05,              4.218e-05,              4.218e-05
                      5,                  3.441,                 8.0466,                 4.1905,                0.00067,                    0.6,                 0.0054,                0.00099,                 2.8221,                 7.4479,                 4.1583,              4.832e-05,              4.832e-05,              4.832e-05
                      6,                  3.666,                 8.5593,                 4.2312,                0.00067,                    0.6,                0.00875,                0.00132,                 2.8219,                 7.4496,                 4.1582,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                 3.1399,                 7.2736,                 4.1833,                0.00067,                    0.6,                0.00433,                  0.001,                 2.8217,                 7.4506,                 4.1581,              4.872e-05,              4.872e-05,              4.872e-05
                      8,                 3.1479,                 7.8997,                 4.2027,                0.00067,                    0.6,                0.00805,                0.00122,                 2.8215,                 7.4516,                 4.1579,              4.298e-05,              4.298e-05,              4.298e-05
                      9,                 2.9117,                 8.1537,                  4.228,                0.00067,                    0.6,                0.01545,                0.00214,                 2.8214,                 7.4529,                 4.1578,              3.328e-05,              3.328e-05,              3.328e-05
                     10,                 3.6987,                 8.0057,                 4.1501,                0.00067,                    0.6,                 0.0024,                 0.0007,                 2.8212,                 7.4549,                 4.1577,              1.962e-05,              1.962e-05,              1.962e-05
