                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7361,                 4.3748,                 4.2942,                0.00133,                0.28571,                0.00186,                0.00038,                 3.6224,                 4.5417,                 4.1589,                      0,                      0,                      0
                      2,                 3.6646,                 4.2056,                 4.2905,                0.00133,                0.28571,                0.00254,                0.00051,                 3.6237,                 4.5388,                 4.1588,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 3.7998,                 4.2047,                 4.2368,                0.00133,                0.28571,                0.00206,                0.00043,                 3.6237,                 4.5389,                 4.1588,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                  3.733,                 4.0526,                 4.3016,                0.00133,                0.28571,                0.00197,                0.00049,                 3.6236,                  4.539,                 4.1587,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 3.6733,                 4.1233,                 4.3463,                0.00156,                0.33333,                0.00337,                 0.0007,                 3.6236,                 4.5393,                 4.1587,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 3.6699,                  4.086,                 4.2602,                0.00156,                0.33333,                0.00453,                0.00075,                 3.6235,                 4.5396,                 4.1586,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 3.7719,                 3.9185,                 4.3132,                0.00133,                0.28571,                0.00282,                0.00065,                 3.6235,                   4.54,                 4.1586,             0.00011287,             0.00011287,             0.00011287
                      8,                 3.6867,                 4.0399,                 4.2889,                0.00133,                0.28571,                0.00213,                0.00041,                 3.6234,                 4.5402,                 4.1586,              0.0001303,              0.0001303,              0.0001303
                      9,                 3.5695,                 3.9387,                   4.25,                0.00133,                0.28571,                0.00379,                0.00092,                 3.6233,                 4.5404,                 4.1585,             0.00014733,             0.00014733,             0.00014733
                     10,                 3.4859,                 4.0236,                 4.2149,                0.00133,                0.28571,                0.00242,                0.00063,                 3.6231,                 4.5406,                 4.1585,             0.00016396,             0.00016396,             0.00016396
                     11,                 3.7405,                 4.0317,                  4.216,                0.00133,                0.28571,                0.00247,                0.00063,                  3.623,                 4.5408,                 4.1584,              0.0001802,              0.0001802,              0.0001802
                     12,                  3.976,                 3.9908,                 4.1844,                0.00156,                0.33333,                0.00401,                0.00065,                 3.6228,                 4.5411,                 4.1583,             0.00019604,             0.00019604,             0.00019604
                     13,                 3.7148,                 4.1417,                 4.3259,                0.00133,                0.28571,                0.00245,                0.00049,                 3.6227,                  4.541,                 4.1583,             0.00021149,             0.00021149,             0.00021149
                     14,                 3.5267,                 3.9677,                 4.2278,                0.00133,                0.28571,                0.00296,                0.00057,                 3.6224,                 4.5411,                 4.1582,             0.00022654,             0.00022654,             0.00022654
                     15,                 3.5141,                 3.9182,                 4.1863,                0.00133,                0.28571,                0.00334,                0.00056,                 3.6222,                  4.541,                 4.1581,             0.00024119,             0.00024119,             0.00024119
                     16,                 3.8041,                 3.8983,                 4.2223,                0.00133,                0.28571,                0.00388,                0.00075,                 3.6219,                 4.5405,                  4.158,             0.00025545,             0.00025545,             0.00025545
                     17,                 3.7186,                  3.887,                 4.1848,                0.00156,                0.33333,                0.00412,                0.00068,                 3.6216,                 4.5398,                 4.1578,             0.00026931,             0.00026931,             0.00026931
                     18,                 4.2354,                 4.2032,                 4.2315,                0.00156,                0.33333,                0.00412,                0.00068,                 3.6216,                 4.5398,                 4.1578,             0.00028278,             0.00028278,             0.00028278
                     19,                 3.9791,                 4.0159,                 4.1889,                0.00133,                0.28571,                0.00317,                0.00054,                  3.621,                 4.5394,                 4.1577,             0.00029585,             0.00029585,             0.00029585
                     20,                 3.9969,                 4.0474,                 4.2458,                0.00133,                0.28571,                0.00317,                0.00054,                  3.621,                 4.5394,                 4.1577,             0.00030852,             0.00030852,             0.00030852
                     21,                 3.6404,                 3.9239,                 4.2179,                0.00133,                0.28571,                0.00325,                0.00065,                 3.6202,                  4.538,                 4.1575,              0.0003208,              0.0003208,              0.0003208
                     22,                 3.8378,                 3.9534,                 4.1817,                0.00133,                0.28571,                0.00325,                0.00065,                 3.6202,                  4.538,                 4.1575,             0.00033268,             0.00033268,             0.00033268
                     23,                 4.1213,                  3.964,                 4.1779,                0.00156,                0.33333,                0.00345,                0.00067,                 3.6192,                 4.5351,                 4.1573,             0.00034417,             0.00034417,             0.00034417
                     24,                 3.6299,                 3.8264,                 4.1628,                0.00156,                0.33333,                0.00345,                0.00067,                 3.6192,                 4.5351,                 4.1573,             0.00035526,             0.00035526,             0.00035526
                     25,                 3.6009,                 3.7785,                 4.1725,                0.00156,                0.33333,                 0.0034,                0.00068,                 3.6177,                 4.5303,                  4.157,             0.00036595,             0.00036595,             0.00036595
                     26,                 3.7018,                 3.7065,                 4.1575,                0.00156,                0.33333,                 0.0034,                0.00068,                 3.6177,                 4.5303,                  4.157,             0.00037625,             0.00037625,             0.00037625
                     27,                 3.7062,                 3.6521,                 4.1492,                0.00133,                0.28571,                0.00296,                 0.0006,                 3.6159,                 4.5238,                 4.1566,             0.00038615,             0.00038615,             0.00038615
                     28,                  3.335,                 3.9119,                 4.1402,                0.00133,                0.28571,                0.00296,                 0.0006,                 3.6159,                 4.5238,                 4.1566,             0.00039566,             0.00039566,             0.00039566
                     29,                  3.696,                 3.9451,                 4.1767,                0.00133,                0.28571,                0.00231,                 0.0005,                 3.6137,                 4.5168,                  4.156,             0.00040477,             0.00040477,             0.00040477
                     30,                 4.0728,                 3.9416,                 4.1903,                0.00133,                0.28571,                0.00231,                 0.0005,                 3.6137,                 4.5168,                  4.156,             0.00041348,             0.00041348,             0.00041348
                     31,                  3.729,                 3.7322,                 4.1246,                0.00133,                0.28571,                0.00177,                0.00038,                 3.6113,                 4.5102,                 4.1555,              0.0004218,              0.0004218,              0.0004218
                     32,                  3.744,                 4.1294,                 4.1295,                0.00133,                0.28571,                0.00177,                0.00038,                 3.6113,                 4.5102,                 4.1555,             0.00042972,             0.00042972,             0.00042972
                     33,                 3.8062,                 4.2813,                 4.1405,                0.00133,                0.28571,                0.00169,                0.00039,                 3.6083,                 4.5018,                 4.1549,             0.00043725,             0.00043725,             0.00043725
                     34,                 4.2719,                 3.9098,                 4.1319,                0.00133,                0.28571,                0.00169,                0.00039,                 3.6083,                 4.5018,                 4.1549,             0.00044438,             0.00044438,             0.00044438
                     35,                 3.9312,                 3.8356,                 4.1463,                0.00133,                0.28571,                0.00183,                0.00044,                 3.6038,                  4.492,                 4.1545,             0.00045111,             0.00045111,             0.00045111
                     36,                 3.6383,                 3.8383,                 4.1347,                0.00133,                0.28571,                0.00183,                0.00044,                 3.6038,                  4.492,                 4.1545,             0.00045745,             0.00045745,             0.00045745
                     37,                 3.4365,                 3.8475,                 4.1566,                0.00133,                0.28571,                0.00152,                0.00038,                 3.6005,                 4.4767,                 4.1542,             0.00046339,             0.00046339,             0.00046339
                     38,                  3.158,                 3.9761,                 4.1557,                0.00133,                0.28571,                0.00152,                0.00038,                 3.6005,                 4.4767,                 4.1542,             0.00046894,             0.00046894,             0.00046894
                     39,                 3.8949,                 3.8537,                 4.1327,                0.00133,                0.28571,                0.00198,                0.00041,                 3.5976,                 4.4577,                 4.1537,             0.00047409,             0.00047409,             0.00047409
